mouse_idx,acquisition_idx,doi_citations,location,protocole_id,probes,sex,animal_strain,age_days,date_of_birth,weight,slice_position,temperature,procedure_type,procedure_info,anesthesia,seringe_gage,flush,injection_type,mb_dilution,volume_mb_injected,FRC_um,saturation_percent,mean_track_length_frames,mean_velocity_mm_s,quality_grade
mouse_12,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,28,1/12/2023,"15,6",striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,23.4,40.8,36.4,6.76,A
mouse_12,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,28,1/12/2023,"15,6",striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,19.36,38.8,37.7,6.22,A
mouse_13,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,28,1/12/2023,"15,1",striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,27.35,36.6,35.8,6.49,B
mouse_13,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,28,1/12/2023,"15,1",striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,20.23,40.7,37.4,6.22,A
mouse_14,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,28,1/12/2023,14,striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,22.48,35.7,37,6.53,B
mouse_14,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,28,1/12/2023,14,striatum,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,27.25,37.3,37,6.6,A
mouse_15,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,22,17/12/2023,"13,8",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,25.6,44.8,34.5,7.06,B
mouse_15,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,22,17/12/2023,"13,8",Pons,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,25.96,48.8,36.3,6.93,A
mouse_16,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,36,11/6/2024,16,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,20.41,49.9,36.6,6.89,A
mouse_16,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,36,11/6/2024,16,Hippocampus,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,24.43,39.7,37.2,6.72,A
mouse_16,acquisition_3,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,36,11/6/2024,16,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,26.04,37.4,37.2,6.77,B
mouse_16,acquisition_4,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,36,11/6/2024,16,,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,26.9,36.2,37.2,6.48,A
mouse_16,acquisition_5,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,36,11/6/2024,16,Midbrain,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,30.16,32.2,36.6,6.94,A
mouse_17,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"18,6",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,21.32,51,35.9,6.83,A
mouse_17,acquisition_2,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"18,6",Hippocampus,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,22.07,50.6,38.3,6.19,A
mouse_17,acquisition_3,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"18,6",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,26.39,44,38.5,6.06,A
mouse_17,acquisition_4,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"18,6",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,29.89,41.8,37.9,5.83,A
mouse_17,acquisition_5,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"18,6",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,32.88,32.9,35.6,6.38,A
mouse_17,acquisition_6,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"18,6",Midbrain,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,31.43,35,37.6,6.25,A
mouse_18,acquisition_1,,Mc Gill,Animal Use Protocol AUP-4532,L22-14,F,C57bl/6J,38,16/06/2024,"15,1",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:50,4 uL/g,22.23,48.5,38.7,6.47,A
